no.,menu_makanan,bahan_makanan,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,natrium,kalium,tembaga,seng,vit_c,price (100 gr),rasa ,class,meal_time
155,Sop buntut,"buntut sapi, sayur",86.1,71,7500,3600,2200.0,500,286,38.0,3.2,490,90.0,0.1,0.8,0.0,15000,gurih,daging,"dinner, lunch"
156,Sop daging sapi,"daging sapi, sayur",87.5,49,5800,500,5300.0,500,158,48.0,2.2,391,80.0,0.1,0.8,0.0,13000,gurih,daging,"dinner, lunch"
157,Sop kaki sapi,"kaki sapi, sayur",84.5,68,9000,1900,3700.0,500,302,15.0,2.2,435,80.0,0.1,0.8,0.0,15000,gurih,daging,"dinner, lunch"
158,Sop kambing,"daging kambing, sayur",91.6,34,5500,800,1100.0,500,145,37.0,1.6,348,80.0,0.1,0.8,0.0,15000,gurih,daging,"dinner, lunch"
159,Sop konro,"iga sapi, sayur",85.0,71,7400,2600,4500.0,500,17,60.0,4.6,184,25.0,0.3,1.3,0.0,15000,gurih,daging,"dinner, lunch"
160,Sop saudara,"daging sapi, jeroan, sayur",82.4,89,7200,5000,3900.0,500,10,174.0,9.0,274,50.0,0.2,1.1,0.0,13000,gurih,daging,"dinner, lunch"
161,Soto bandung,"daging sapi, lobak",89.9,42,3900,1700,2800.0,400,74,75.0,1.8,100,40.0,0.1,0.5,0.0,12000,gurih,daging,"breakfast, dinner, lunch"
162,Soto banjar,"daging ayam, sayur",83.7,110,2900,9500,3200.0,500,28,28.0,0.3,36,6.0,0.0,0.2,0.0,12000,gurih,daging,"breakfast, dinner, lunch"
163,Soto betawi,"daging sapi, santan",75.9,135,2500,8800,11500.0,500,222,72.0,1.9,100,40.0,0.1,0.5,0.0,13000,gurih,daging,"breakfast, dinner, lunch"
164,Soto jeroan,"jeroan sapi, sayur",81.4,92,11800,4300,1400.0,500,218,48.0,1.9,363,80.0,0.1,0.8,0.0,13000,gurih,daging,"breakfast, dinner, lunch"
165,Soto kudus,"daging ayam, sayur",91.6,38,2600,2300,1800.0,200,237,67.0,1.7,100,40.0,0.1,0.5,0.0,12000,gurih,daging,"breakfast, dinner, lunch"
166,Soto madura,"daging sapi, sayur",89.8,60,3500,4500,1300.0,0,361,126.0,3.8,100,40.0,0.1,0.5,0.0,12000,gurih,daging,"breakfast, dinner, lunch"
167,Soto padang,"daging sapi, paru",75.0,127,5900,6600,11000.0,700,298,94.0,1.5,100,40.0,0.1,0.5,0.0,12000,gurih,daging,"breakfast, dinner, lunch"
168,Soto pekalongan,"daging sapi, tauco",83.8,94,3000,6800,5100.0,300,322,79.0,2.0,100,40.0,0.1,0.5,0.0,12000,gurih,daging,"breakfast, dinner, lunch"
169,Soto pemalang,"daging sapi, sayur",86.0,75,3600,5200,3500.0,0,170,80.0,2.1,100,40.0,0.1,0.5,0.0,12000,gurih,daging,"breakfast, dinner, lunch"
170,Soto sukaraja,"daging sapi, sayur",75.9,80,3200,3500,9000.0,300,347,77.0,2.3,100,40.0,0.1,0.5,0.0,12000,gurih,daging,"breakfast, dinner, lunch"
171,Soto sulung,"daging sapi, jeroan",88.1,86,2300,8500,0.0,0,200,120.0,2.9,100,40.0,0.1,0.5,0.0,12000,gurih,daging,"breakfast, dinner, lunch"
172,Sukiyaki,"daging sapi, sayur",81.0,75,5600,400,12200.0,200,109,59.0,0.5,426,80.0,0.1,0.5,0.0,13000,gurih,daging,"breakfast, dinner, lunch"
173,Tedong pallu basa,"daging kerbau, jeroan",81.7,83,10400,3400,2800.0,500,10,139.0,2.6,397,34.0,0.6,1.3,0.0,15000,gurih,daging,"breakfast, dinner, lunch"
174,Tikus rica,daging tikus,54.9,257,18800,18500,3800.0,500,232,293.0,6.5,1724,308.0,0.5,2.3,0.0,20000,gurih,daging,"breakfast, dinner, lunch"
175,Tinoransa,"daging sapi, kelapa",31.6,516,17700,49500,0.0,500,698,648.0,3.5,1307,320.0,0.1,1.8,0.0,15000,gurih,daging,"breakfast, dinner, lunch"
176,Telur dadar ayam,telur ayam,61.9,251,16300,19400,1400.0,0,62,250.0,2.5,100,100.0,0.1,1.0,0.0,7000,gurih,telur,"dinner, lunch"
177,Telur asin,"telur itik, garam",66.5,179,13600,13300,4400.0,0,120,157.0,1.8,483,140.1,0.1,1.0,0.0,8000,asin,telur,"breakfast, dinner, lunch"
178,Telur dadar bebek,telur bebek,55.1,301,20000,23700,0.0,0,71,600.0,9.2,100,100.0,0.1,1.0,0.0,8000,gurih,telur,"dinner, lunch"
179,Ikan telur asin,"ikan, telur asin",37.8,358,20700,26400,9400.0,0,48,311.0,15.1,2684,59.0,0.4,3.0,0.0,12000,asin,telur,"breakfast, dinner, lunch"
180,Bayau mi balu,"telur, mi, tepung",36.1,313,6000,12200,44800.0,1000,40,90.0,1.0,100,40.0,0.1,0.5,0.0,7000,gurih,telur,"dinner, lunch"
181,Cucuru bayau,"telur, tepung, gula",35.0,349,6800,18700,38300.0,1000,40,90.0,1.0,100,40.0,0.1,0.5,0.0,7000,manis,telur,"breakfast, dinner, lunch"
182,Kalio telur,"telur ayam, santan",79.0,193,10600,12400,9700.0,500,148,246.0,3.8,540,100.0,0.1,1.0,0.0,9000,gurih,telur,"breakfast, dinner, lunch"
183,Batatas kelapa bakar,"ubi jalar, kelapa",73.2,110,1400,1100,23400.0,4500,1,46.0,0.2,12,230.0,0.2,0.3,0.0,5000,manis,ubi,"breakfast, dinner, lunch"
184,Batatas kelapa kukus,"ubi jalar, kelapa",75.7,92,1200,300,21000.0,4100,0,42.0,0.2,10,209.0,0.2,0.3,0.0,5000,manis,ubi,"breakfast, dinner, lunch"
185,Batatas tali rebus,"ubi jalar, tali",53.2,182,2400,400,42200.0,9200,1,80.0,0.3,20,402.0,0.3,0.6,0.0,5000,manis,ubi,"breakfast, dinner, lunch"
186,Belitung talas kukus,talas,63.1,145,1200,400,34200.0,1000,21,48.0,0.9,7,552.6,0.2,0.9,1.0,6000,tawar,ubi,"breakfast, dinner, lunch"
187,Bentul talas kukus,talas,81.1,71,2300,300,15400.0,500,29,26.0,0.6,10,201.0,0.2,0.6,2.0,6000,tawar,ubi,"breakfast, dinner, lunch"
188,Gadung kukus,gadung,77.4,88,600,300,20900.0,900,26,47.0,0.4,6,584.0,0.2,0.2,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
189,Ganyong rebus,ganyong,74.1,100,800,200,23800.0,900,15,65.0,0.9,10,40.0,0.1,0.5,6.0,5000,tawar,ubi,"breakfast, dinner, lunch"
190,singkong kukus,singkong,61.5,153,1200,300,36400.0,1300,56,22.0,0.4,2,345.3,0.3,0.1,20.0,5000,tawar,ubi,"breakfast, dinner, lunch"
191,Suweg talas kukus,"suweg, talas",75.5,93,1500,100,21900.0,900,50,58.0,0.8,6,350.3,0.1,0.1,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
192,Talas bogor kukus,talas bogor,69.2,120,1500,300,28200.0,700,31,63.0,0.7,11,498.0,0.2,0.6,2.0,6000,tawar,ubi,"breakfast, dinner, lunch"
193,Ubi jalar kuning kukus,ubi jalar kuning,74.2,100,700,300,23800.0,1000,44,46.0,0.4,3,0.8,0.1,0.2,16.0,5000,manis,ubi,"breakfast, dinner, lunch"
194,Ubi jalar tinta/kemayung kukus,ubi jalar ungu,58.5,165,900,200,39800.0,1100,20,23.0,0.8,1,0.9,0.1,0.2,0.0,5000,manis,ubi,"breakfast, dinner, lunch"
195,Bagea kelapa asin,"tepung sagu, kelapa, asin",3.5,450,3200,13900,78100.0,500,38,38.0,0.3,74,0.0,0.2,0.2,0.0,7000,asin,ubi,"breakfast, dinner, lunch"
196,Bagea kelapa manis,"tepung sagu, kelapa, gula",3.0,452,1300,13800,80600.0,500,38,39.0,0.3,75,0.0,0.2,0.2,0.0,7000,manis,ubi,"breakfast, dinner, lunch"
197,Bagea kenari asin,"tepung sagu, kenari, asin",2.8,529,3200,29100,63600.0,500,38,40.0,0.4,74,0.0,0.2,0.2,0.0,9000,asin,ubi,"breakfast, dinner, lunch"
198,Bagea kenari manis,"tepung sagu, kenari, gula",3.1,523,3200,28200,64200.0,500,38,39.0,0.3,74,0.0,0.2,0.2,0.0,9000,manis,ubi,"breakfast, dinner, lunch"
199,Bagea kw 1,"tepung sagu, kelapa",7.2,416,6500,9400,76300.0,400,49,77.0,4.9,50,40.0,0.1,0.5,0.0,7000,manis,ubi,"breakfast, dinner, lunch"
200,Bagea kw 2,"tepung sagu, kelapa",7.9,382,300,3500,87200.0,900,172,120.0,7.6,50,40.0,0.1,0.5,0.0,7000,manis,ubi,"breakfast, dinner, lunch"
201,Beras Cerdas,beras olahan,11.3,350,2700,1100,82300.0,6200,28,351.0,2.9,358,568.0,0.2,0.9,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
202,Beras ganyong,"ganyong, beras",9.3,364,3400,700,86300.0,4700,4,47.0,5.0,4,72.2,0.2,0.6,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
203,Beras Siger,beras olahan,13.5,344,1100,200,28300.0,5600,32,22.0,5.6,106,77.9,0.1,0.5,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
204,Biji nangka/Biji salak,biji nangka/salak,40.5,262,2300,5400,51100.0,8000,60,80.0,0.8,10,2.0,0.6,2.0,10.0,6000,tawar,ubi,"breakfast, dinner, lunch"
205,Bubur sagu,"sagu, gula",62.5,167,200,4000,33000.0,500,3,3.0,0.1,7,0.0,0.1,0.1,0.0,6000,manis,ubi,breakfast
206,Cassavastick,"singkong, minyak",5.6,460,800,18700,17200.0,1600,144,58.0,7.5,50,40.0,0.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
207,Ceriping getuk singkong,"singkong, minyak",7.2,462,1200,20700,67700.0,600,1248,172.0,8.8,100,100.0,0.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
208,Gatot,gaplek (singkong),12.8,347,1300,700,83800.0,5800,78,44.0,17.1,28,242.0,0.2,0.7,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
209,Geblek,tepung tapioka,52.1,195,400,1700,44400.0,3600,35,13.0,0.6,353,125.0,0.3,0.3,0.0,6000,gurih,ubi,"breakfast, dinner, lunch"
210,Getuk goreng,"singkong, gula, minyak",16.5,360,1300,6400,74300.0,800,59,81.0,3.2,50,40.0,0.1,0.5,0.0,6500,manis,ubi,"breakfast, dinner, lunch"
211,Getuk singkong,"singkong, gula",49.8,204,500,1400,47400.0,800,97,52.0,1.5,50,40.0,0.1,0.5,0.0,6000,manis,ubi,"breakfast, dinner, lunch"
212,Gurandil,"tepung ketan, gula",47.5,218,500,2500,48500.0,3100,50,25.0,2.8,50,40.0,0.1,0.5,0.0,6500,manis,ubi,"breakfast, dinner, lunch"
213,Kabuto,"singkong, gula, kelapa",58.9,250,2600,2500,35400.0,1800,35,49.0,1.1,2,218.0,0.1,0.5,0.0,6000,manis,ubi,"breakfast, dinner, lunch"
214,Kapurung,"sagu, sayur, ikan",79.6,41,2000,300,7800.0,2000,34,12.0,0.3,185,566.0,0.1,0.3,15.0,7000,gurih,ubi,"breakfast, dinner, lunch"
215,Kecimpring singkong goreng,"singkong, minyak",3.7,464,1200,18600,73000.0,1300,82,52.0,3.4,50,40.0,0.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
216,Keremes,"tepung beras, kelapa",6.7,475,1600,25200,64400.00000000001,2100,153,88.0,1.0,50,40.0,0.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
217,Keripik gadung,"gadung, minyak",4.0,446,2800,14500,76000.0,1700,147,52.0,1.9,50,40.0,0.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
218,Keripik kentang,"kentang, minyak",7.8,448,2700,18800,67100.0,3800,25,130.0,1.2,712,406.0,1.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
219,Keripik singkong,"singkong, minyak",4.2,478,900,20700,72000.0,2000,189,101.0,1.9,50,40.0,0.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
220,Keripik singkong berbumbu,"singkong, minyak, bumbu",2.2,481,2200,19700,73600.0,1600,156,103.0,1.6,50,40.0,0.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
221,Keripik ubi,"ubi jalar, minyak",6.0,486,200,23900,67600.0,14300,68,92.0,0.9,52,2.0,0.7,2.3,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
222,Kerupuk cumi goreng,"tepung, cumi, minyak",3.4,444,6900,14600,71300.0,5000,47,375.0,1.8,837,191.0,0.1,0.3,0.0,9000,gurih,ubi,"dinner, lunch"
223,Kerupuk kemplang goreng,"ikan, tepung, minyak",5.8,504,5600,28100,57100.0,300,50,94.0,2.9,50,40.0,0.1,0.5,0.0,9000,gurih,ubi,"breakfast, dinner, lunch"
224,Kerupuk kemplang panggang,"ikan, tepung",9.4,356,9700,1100,76900.0,1000,62,129.0,2.9,50,40.0,0.1,0.5,0.0,9000,gurih,ubi,"breakfast, dinner, lunch"
225,Kerupuk mie kuning goreng,"mi kuning, minyak",7.2,476,100,21100,71300.0,4200,57,36.0,4.6,50,109.0,0.1,0.2,0.0,7000,gurih,ubi,"dinner, lunch"
226,Kerupuk udang goreng,"tepung, udang, minyak",4.4,477,4700,20500,68500.0,5000,24,188.0,0.9,449,109.0,0.1,0.2,0.0,9000,gurih,ubi,"breakfast, dinner, lunch"
227,Kue bangket,"tepung sagu, gula",16.1,338,1500,1200,80300.0,500,34,35.0,0.3,67,0.0,0.2,0.2,0.0,7000,manis,ubi,breakfast
228,Kue putu singkong,"singkong, gula",44.2,217,1200,500,53200.0,2400,48,68.0,1.5,3,305.0,0.1,0.5,0.0,6000,manis,ubi,breakfast
229,Lanting getuk,"singkong, minyak",4.2,422,900,10800,80400.0,1400,206,104.0,3.6,50,40.0,0.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
230,Mi golosor,"tepung terigu, kunyit",82.9,71,200,800,15900.0,100,117,5.0,0.2,10,10.0,0.1,0.2,0.0,6000,tawar,ubi,"dinner, lunch"
231,Mie Bendo,"tepung sagu, tepung terigu",11.5,353,300,0,88000.0,2400,28,14.0,2.8,9,49.2,0.5,0.1,0.0,6000,tawar,ubi,"dinner, lunch"
232,Mie Sagu,"tepung sagu, air",52.8,190,200,400,46500.0,1400,8,7.0,0.3,10,2.6,0.1,0.0,0.0,6000,tawar,ubi,"dinner, lunch"
233,Ongol-ongol sagu,"sagu, gula",75.3,111,300,2700,21200.0,300,79,15.0,1.7,10,40.0,0.1,0.3,0.0,6000,manis,ubi,"breakfast, dinner, lunch"
234,Oyek,singkong kering (oyek),12.6,351,900,900,84900.0,4300,60,36.0,2.1,5,229.0,0.1,0.5,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
235,Papeda,"sagu, air",84.8,61,200,100,14900.0,500,3,1.0,0.2,4,20.0,0.1,0.1,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
236,Rasbi (Beras Ubi),"ubi jalar, tepung",11.1,394,2200,8800,76600.0,6800,68,76.0,1.6,165,388.0,0.4,0.4,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
237,Rasi (Beras Singkong),"singkong, tepung",12.6,350,900,400,85700.0,14400,42,21.0,1.5,8,14.0,0.3,0.5,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
238,Sagu forno,"sagu, kelapa",31.5,291,500,4000,63400.0,500,10,20.0,0.8,40,50.0,0.1,0.2,0.0,6500,manis,ubi,"breakfast, dinner, lunch"
239,Sagu Lemak (Kue sagon),"sagu, kelapa, gula",4.3,452,2800,14800,76800.0,1100,15,39.0,1.1,182,52.7,0.04,0.8,0.0,7000,manis,ubi,breakfast
240,Sagu manis,"sagu, gula",32.6,287,500,3900,62400.0,500,8,17.0,0.7,34,42.0,0.1,0.2,0.0,6500,manis,ubi,"breakfast, dinner, lunch"
241,Sagu Rendang,"sagu, kelapa",8.2,364,100,200,90500.0,1900,13,9.0,3.9,42,15.1,0.1,0.1,0.0,6500,gurih,ubi,"dinner, lunch"
242,Sagu sinole,"sagu, kelapa",22.0,354,800,8300,68900.0,500,10,30.0,0.8,30,11.0,0.2,0.3,0.0,6500,gurih,ubi,"breakfast, dinner, lunch"
243,Serimping talas kebumen,"talas, tepung",4.8,478,2500,21200,69200.0,1700,112,118.0,2.3,50,40.0,0.1,0.5,0.0,7000,gurih,ubi,"breakfast, dinner, lunch"
244,Tapai singkong,"singkong, ragi",57.4,169,1400,300,40200.0,2000,21,34.0,0.8,10,30.0,0.1,0.5,9.0,6000,manis,ubi,"breakfast, dinner, lunch"
245,Tepung Arrowroot,"garut, tepung",13.6,355,700,200,85200.0,400,8,22.0,1.5,2,10.7,0.0,0.1,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
246,Tepung Ganyong,"ganyong, tepung",13.6,353,800,1700,83600.0,700,4,31.0,3.3,3,63.5,0.1,0.3,1.0,6000,tawar,ubi,"breakfast, dinner, lunch"
247,Tepung Gaplek,"gaplek, tepung",13.0,345,2400,400,83100.0,6700,18,95.0,1.5,6,55.0,0.4,1.2,0.0,6000,tawar,ubi,"breakfast, dinner, lunch"
248,Tiwul,"gaplek, tepung",11.2,353,2400,1100,83400.0,6500,55,95.0,4.7,5,670.0,0.2,0.8,3.0,6000,tawar,ubi,"breakfast, dinner, lunch"
249,Tiwul Instan,"gaplek, tepung",9.1,395,3200,8500,76500.0,4200,81,81.0,5.8,377,469.0,2.1,1.2,4.0,7000,tawar,ubi,"breakfast, dinner, lunch"
250,Ubi Cilembu,ubi cilembu,52.7,186,1900,200,44300.0,3400,37,51.0,0.6,1,61.9,0.1,0.2,0.0,6000,manis,ubi,"breakfast, dinner, lunch"
251,Uli batatas,"ubi jalar, kelapa",66.5,150,1100,4000,27400.0,1000,23,20.0,0.1,6,112.0,0.1,0.2,0.0,6000,manis,ubi,"breakfast, dinner, lunch"
252,Es krim,"susu, gula, lemak",62.1,210,4000,12500,20600.0,0,123,99.0,0.1,78,193.4,0.0,0.7,1.0,9000,manis,sayur,"breakfast, dinner, lunch"
253,Hangop,"susu, telur",84.0,65,10000,1000,3500.0,0,180,190.0,0.2,126,374.4,0.1,0.5,0.0,7000,gurih,sayur,"breakfast, dinner, lunch"
254,Keju,"susu, bakteri",38.5,326,22800,20300,13100.0,0,777,338.0,1.5,1410,82.7,0.03,3.1,1.0,15000,gurih,sayur,"breakfast, dinner, lunch"
255,Kwark (Quark),"susu, bakteri",59.0,242,19000,17000,3000.0,0,300,350.0,0.5,37,72.7,0.01,0.2,0.0,12000,gurih,sayur,"breakfast, dinner, lunch"
256,Susu asam untuk bayi susu,"susu, bakteri, gula",2.5,418,19000,9000,65500.0,0,800,600.0,7.0,188,486.5,0.0,0.0,30.0,12000,manis,sayur,"breakfast, dinner, lunch"
257,Susu bubuk,susu sapi,3.5,513,24600,30000,36200.0,0,904,694.0,0.6,380,1330.0,0.02,4.1,6.0,12000,gurih,sayur,"breakfast, dinner, lunch"
258,Susu kental manis,"susu sapi, gula",25.0,343,8200,10000,55000.0,0,275,209.0,0.2,150,320.0,0.02,1.0,1.0,10000,manis,sayur,"breakfast, dinner, lunch"
259,Susu kental tak manis,susu sapi,73.7,138,7000,7900,9900.0,0,243,195.0,0.2,140,303.0,0.01,1.0,1.0,10000,gurih,sayur,"breakfast, dinner, lunch"
260,"Susu skim, segar",susu sapi,90.5,36,3500,100,5100.0,0,123,97.0,0.1,38,100.0,0.01,0.5,1.0,9000,tawar,sayur,"breakfast, dinner, lunch"
261,Yoghurt,"susu sapi, bakteri",88.0,52,3300,2500,4000.0,0,120,90.0,0.1,40,299.0,0.01,0.6,0.0,12000,asam,sayur,"breakfast, dinner, lunch"
262,Bayam kukus,bayam,90.7,30,1300,700,5800.0,1200,239,35.0,5.7,15,431.0,0.1,0.3,32.0,4000,tawar,sayur,"dinner, lunch"
263,Bayam rebus,bayam,93.5,23,1200,600,3700.0,1100,150,35.0,0.5,16,308.4,0.2,0.3,19.0,4000,tawar,sayur,"dinner, lunch"
264,Buncis rebus,buncis,90.6,30,2200,200,6400.0,1500,107,47.0,0.5,7,138.9,0.1,0.3,8.0,4000,tawar,sayur,"breakfast, dinner, lunch"
265,Daun kacang panjang kukus,daun kacang panjang,87.2,40,3700,300,8000.0,1800,111,66.0,3.7,6,419.5,0.2,0.3,11.0,4000,tawar,sayur,"breakfast, dinner, lunch"
266,Daun katuk rebus,daun katuk,83.3,53,5300,900,9100.0,1200,185,102.0,3.1,16,291.3,0.3,1.3,66.0,4000,tawar,sayur,"breakfast, dinner, lunch"
267,Daun kelor rebus,daun kelor,80.3,61,6100,900,10000.0,900,255,36.0,2.1,45,181.2,0.1,0.6,13.0,4000,tawar,sayur,"breakfast, dinner, lunch"
268,Daun mengkudu kukus,daun mengkudu,81.6,63,3800,1500,11500.0,2400,300,43.0,6.0,10,200.0,0.1,0.5,11.0,4000,tawar,sayur,"breakfast, dinner, lunch"
269,Daun singkong rebus,daun singkong,90.5,31,3700,600,4800.0,1600,160,50.0,2.6,13,14.0,0.1,2.0,34.0,4000,tawar,sayur,"breakfast, dinner, lunch"
270,Daun talas rebus,daun talas,91.6,27,1300,200,5900.0,1600,119,41.0,1.4,3,519.4,0.5,0.5,7.0,4000,tawar,sayur,"breakfast, dinner, lunch"
271,Daun ubi merah kukus,daun ubi merah,82.5,56,3100,300,13000.0,1500,78,52.0,4.3,28,472.8,0.1,0.4,14.0,4000,tawar,sayur,"breakfast, dinner, lunch"
272,Kacang panjang kukus,kacang panjang,88.2,39,3000,600,7600.0,1700,100,91.0,1.2,28,199.0,0.11,0.5,20.0,4000,tawar,sayur,"breakfast, dinner, lunch"
273,Kacang panjang rebus,kacang panjang,90.9,30,2300,400,5800.0,1400,71,68.0,0.8,24,114.5,0.1,0.4,15.0,4000,tawar,sayur,"breakfast, dinner, lunch"
274,Kangkung kukus,kangkung,90.4,30,3200,700,4700.0,1800,70,49.0,4.4,45,184.9,0.1,0.3,11.0,4000,tawar,sayur,"breakfast, dinner, lunch"
275,Kangkung rebus,kangkung,93.0,22,2500,600,3100.0,1200,50,51.0,3.5,31,98.0,0.1,0.3,13.0,4000,tawar,sayur,"breakfast, dinner, lunch"
276,Paria putih kukus,paria putih,95.0,16,800,200,3400.0,1200,16,33.0,0.5,4,236.0,0.0,0.7,35.0,4000,pahit,sayur,"breakfast, dinner, lunch"
277,Selada rebus,selada,93.5,19,2700,200,2900.0,700,83,74.0,1.4,24,160.7,0.05,0.2,27.0,4000,tawar,sayur,"breakfast, dinner, lunch"
278,Taoge goreng,"taoge, minyak",79.2,88,3200,2100,14000.0,700,168,50.0,5.7,50,40.0,0.1,0.5,0.0,5000,gurih,sayur,"breakfast, dinner, lunch"
279,Taoge seduh,taoge,91.9,28,3000,800,4000.0,1000,52,73.0,0.5,18,58.3,0.19,0.4,2.0,4000,tawar,sayur,"breakfast, dinner, lunch"
280,Terung panjang kukus,terung panjang,92.7,23,1800,100,4900.0,400,40,13.0,0.5,9,57.0,0.1,0.2,1.0,4000,tawar,sayur,"breakfast, dinner, lunch"
281,Wortel rebus,wortel,92.1,28,700,500,6300.0,800,46,28.0,0.6,41,117.3,0.1,0.2,12.0,4000,tawar,sayur,"breakfast, dinner, lunch"
282,Wortel kukus,wortel,89.5,37,1000,600,8300.0,1100,44,30.0,0.6,43,122.5,0.11,0.3,14.0,4000,tawar,sayur,"breakfast, dinner, lunch"
283,Asinan Bogor sayuran,"sayuran campur, asinan",78.0,98,3900,2600,14800.0,500,314,17.0,1.2,483,100.0,0.1,0.5,5.0,5000,asam,sayur,"breakfast, dinner, lunch"
284,Anyang sayur,"sayuran campur, kelapa",76.9,126,3400,7900,10300.0,5400,180,1.0,2.9,290,181.0,0.3,1.2,10.0,5000,gurih,sayur,"breakfast, dinner, lunch"
285,Ares sayur,"batang pisang muda, kelapa",77.7,113,900,7200,11200.0,4700,63,5.0,1.5,1413,1030.0,0.7,3.8,10.0,5000,gurih,sayur,"breakfast, dinner, lunch"
286,Arwan sirsir,"kelapa, ikan, sayur",59.0,277,2400,25000,10700.0,4600,120,40.0,2.4,240,320.0,0.2,0.9,11.0,8000,gurih,sayur,"breakfast, dinner, lunch"
287,Beberuk,"terong, tomat, sayur",89.1,65,1100,5200,3500.0,3100,179,72.0,8.3,53,427.0,0.4,0.2,8.0,5000,segar,sayur,"breakfast, dinner, lunch"
288,Botok lamtoro,"lamtoro, kelapa, tahu",63.9,186,11700,9700,13000.0,2100,771,322.0,26.0,50,40.0,0.1,0.5,2.0,7000,gurih,sayur,"breakfast, dinner, lunch"
289,Buntil daun talas,"daun talas, kelapa, ikan",74.5,141,4400,10200,8000.0,1800,149,121.0,14.5,50,40.0,0.1,0.5,1.0,7000,gurih,sayur,"breakfast, dinner, lunch"
290,Cammetutu,"sayuran campur, kelapa",79.6,102,3200,6000,8700.0,4300,41,93.0,0.5,443,518.0,0.3,0.7,19.0,5000,gurih,sayur,"breakfast, dinner, lunch"
291,Cap cai,"sayuran campur, minyak",82.7,97,5800,6300,4200.0,600,287,89.0,1.8,405,100.0,0.1,0.5,1.0,6000,gurih,sayur,"breakfast, dinner, lunch"
292,Gado-gado,"sayuran, bumbu kacang",68.5,137,6100,3200,21000.0,1100,301,135.0,7.5,100,80.0,0.1,0.7,1.0,7000,gurih,sayur,"dinner, lunch"
293,Gudeg,"nangka muda, santan, gula",69.2,160,3300,9200,16000.0,2300,62,55.0,12.8,100,60.0,0.1,0.5,0.0,7000,manis,sayur,"breakfast, dinner, lunch"
294,Gulai pakis,"daun pakis, santan, bumbu",76.1,143,4000,11400,6000.0,1400,548,124.0,1.7,100,80.0,0.1,0.6,1.0,7000,gurih,sayur,"breakfast, dinner, lunch"
295,Gulai pliek,"sayuran, kelapa, pliek",71.9,176,7300,14900,3200.0,1500,39,54.0,1.4,257,285.0,0.3,0.6,1.0,7000,gurih,sayur,"breakfast, dinner, lunch"
296,Kadada katembe,"daun katuk, kelapa",80.0,110,4500,6900,7100.0,3900,26,77.0,0.0,178,131.0,0.2,0.7,23.0,6000,gurih,sayur,"breakfast, dinner, lunch"
297,Kaparande,"daun kelor, kelapa",91.7,38,2400,2000,2600.0,1500,126,68.0,0.0,170,43.0,0.1,0.3,22.0,6000,gurih,sayur,"breakfast, dinner, lunch"
298,Karedok,"sayuran mentah, bumbu kacang",79.0,92,2200,3300,14100.0,1400,174,85.0,2.4,100,80.0,0.1,0.5,3.0,7000,gurih,sayur,"breakfast, dinner, lunch"
299,Keripik bayam,"bayam, tepung, minyak",2.3,586,4900,40600,50200.0,500,236,117.0,3.6,100,80.0,0.1,0.5,0.0,7000,gurih,sayur,"dinner, lunch"
300,Kotiu hinela tawang nggole,"sayuran, kelapa, bumbu",88.4,46,2200,1500,6000.0,3800,64,44.0,0.0,316,103.0,1.6,0.8,7.0,6000,gurih,sayur,"breakfast, dinner, lunch"
301,Lema/ Rebung asam,"rebung, asam, bumbu",96.3,15,1000,400,1900.0,1000,17,230.0,2.9,3,156.0,0.1,0.7,5.0,5000,asam,sayur,"breakfast, dinner, lunch"
302,Lilin bungkus gedi,"daun gedi, kelapa, bumbu",84.8,79,2300,5200,5800.0,2500,170,70.0,0.9,170,50.0,0.2,0.8,18.0,6000,gurih,sayur,"breakfast, dinner, lunch"
303,Olah-olah,"sayur campur, kelapa, bumbu",83.9,9,2100,6000,7100.0,4400,26,3.0,1.2,289,266.0,0.3,0.6,2.0,6000,gurih,sayur,"breakfast, dinner, lunch"
